Timestamp,Email for Follow-up,Specialization,Health App Value,Improved With App,Challenges Faced,Satisfy Features,Patient Improve with App,Concerns with App
2024-04-01 00:00:00,bradleyflores@brady.com,Cardiology,4,No,Financial aid,Other,Yes,Lack of Human Interaction
2024-04-01 00:01:00,ukim@yahoo.com,Public_Health,1,N/A,Access to medication,Other,Yes,Data Accuracy & Reliability
2024-04-01 00:02:00,mendozajohn@yahoo.com,OBGYN,4,Yes,Lack of support,Health Data Tracking,Yes,Data Accuracy & Reliability
2024-04-01 00:03:00,sydneytaylor@gmail.com,General_Practitioner,2,No,N/A,Emergency Assistance,No,N/A
2024-04-01 00:04:00,nbaldwin@yahoo.com,Cardiology,4,N/A,N/A,Pharmacy Integration,Neutra,False Alarms & Alert Fatigue
2024-04-01 00:05:00,uanderson@hotmail.com,General_Practitioner,3,Prefer Not To Say,Financial aid,Pharmacy Integration,Neutra,False Alarms & Alert Fatigue
2024-04-01 00:06:00,alexandra39@hotmail.com,General_Practitioner,2,No,Lack of support,Appointment Scheduling & Reminders,No,False Alarms & Alert Fatigue
2024-04-01 00:07:00,emily98@hotmail.com,Public_Health,1,No,Lack of support,Symptom Tracker,Yes,Data Accuracy & Reliability
2024-04-01 00:08:00,melissaroman@lawson-duran.com,General_Practitioner,3,Yes,Access to medication,Other,No,Digital Divide & Accessibility
2024-04-01 00:09:00,kristenescobar@vega.com,Cardiology,4,No,Financial aid,Health Data Tracking,Yes,N/A
2024-04-01 00:10:00,vjackson@pierce.com,OBGYN,2,Yes,Financial aid,Health Data Tracking,Yes,False Alarms & Alert Fatigue
2024-04-01 00:11:00,vasquezduane@shaw.biz,Other,4,Prefer Not To Say,N/A,Emergency Assistance,Yes,Lack of Human Interaction
2024-04-01 00:12:00,moorerebecca@garza-thomas.com,ENDOCRINE,1,N/A,Financial aid,Health Data Tracking,Yes,Digital Divide & Accessibility
2024-04-01 00:13:00,tylerserrano@yahoo.com,Other,3,N/A,Access to medication,Health Data Tracking,Neutra,False Alarms & Alert Fatigue
2024-04-01 00:14:00,villarreallinda@chan.com,OBGYN,2,Prefer Not To Say,Financial aid,Appointment Scheduling & Reminders,No,N/A
2024-04-01 00:15:00,erik60@pearson.com,Other,1,N/A,Lack of support,Emergency Assistance,No,False Alarms & Alert Fatigue
2024-04-01 00:16:00,vwallace@hotmail.com,Public_Health,3,No,Financial aid,Pharmacy Integration,Neutra,Dependence on Technology
2024-04-01 00:17:00,whitetonya@green-baker.biz,General_Practitioner,1,Yes,Lack of support,Appointment Scheduling & Reminders,Yes,Data Accuracy & Reliability
2024-04-01 00:18:00,brownroger@rogers.biz,OBGYN,3,N/A,Access to medication,Medication Management,Yes,Data Accuracy & Reliability
2024-04-01 00:19:00,robinlove@gmail.com,Public_Health,4,N/A,N/A,Symptom Tracker,No,Data Accuracy & Reliability
2024-04-01 00:20:00,ryandavis@hotmail.com,Other,3,No,Lack of support,Appointment Scheduling & Reminders,Yes,Data Accuracy & Reliability
2024-04-01 00:21:00,zsantana@benitez.net,OBGYN,4,Prefer Not To Say,Lack of support,Other,Neutra,Digital Divide & Accessibility
2024-04-01 00:22:00,uthomas@perez.com,Public_Health,1,Yes,N/A,Health Data Tracking,Neutra,False Alarms & Alert Fatigue
2024-04-01 00:23:00,russell28@gmail.com,General_Practitioner,3,Yes,Financial aid,Pharmacy Integration,Neutra,Dependence on Technology
2024-04-01 00:24:00,james92@yahoo.com,Cardiology,2,No,N/A,Pharmacy Integration,Neutra,Digital Divide & Accessibility
2024-04-01 00:25:00,jameschung@young.com,OBGYN,2,Yes,Access to medication,Integration with Wearable Devices,No,Digital Divide & Accessibility
2024-04-01 00:26:00,phaley@ramirez.info,ENDOCRINE,1,Yes,N/A,Integration with Wearable Devices,Yes,Dependence on Technology
2024-04-01 00:27:00,tyleryang@williamson-stone.com,Cardiology,3,No,Access to medication,Health Data Tracking,No,Data Accuracy & Reliability
